latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.48,7.7399993,344.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s),precipitation_sum (mm)
2024-02-29,12.6,3.3,32056.65,0.00
2024-03-01,9.0,3.5,6573.72,2.00
2024-03-02,13.6,3.5,34415.49,0.00
2024-03-03,11.0,3.9,31339.03,2.80
2024-03-04,7.1,2.8,0.00,6.90
2024-03-05,8.1,3.9,26054.81,4.80
2024-03-06,9.7,3.0,37522.05,1.10
2024-03-07,12.8,0.4,37909.93,0.00
2024-03-08,14.7,1.8,30102.12,1.80
2024-03-09,14.2,3.7,0.00,3.60
2024-03-10,12.1,4.3,38296.80,0.00
2024-03-11,10.9,1.2,38417.30,0.00
2024-03-12,5.9,-1.4,38621.89,0.00
2024-03-13,5.8,-2.2,38990.64,0.00
2024-03-14,7.7,-2.5,39409.66,0.00
2024-03-15,8.4,-1.9,NaN,NaN
