latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.890526,-77.02716,1.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s),precipitation_sum (mm)
2024-02-29,14.6,-0.3,35561.86,0.40
2024-03-01,11.1,0.0,31597.83,0.50
2024-03-02,9.4,6.5,17709.53,29.10
2024-03-03,16.5,6.4,35847.38,0.00
2024-03-04,16.8,10.2,29859.82,0.00
2024-03-05,13.9,8.3,35758.87,0.00
2024-03-06,14.5,10.0,3276.36,0.00
2024-03-07,20.0,12.7,29236.34,0.00
2024-03-08,14.4,6.8,29153.32,0.00
2024-03-09,10.9,7.3,505.04,5.60
2024-03-10,11.6,9.3,27854.97,0.10
2024-03-11,11.9,5.0,38523.37,0.00
2024-03-12,15.1,4.9,39023.71,0.00
2024-03-13,18.9,5.3,39557.11,0.00
2024-03-14,15.2,11.8,38944.34,1.20
2024-03-15,19.9,13.2,NaN,NaN
